"Source","Sessions","%NewSessions","NewUsers","BounceRate","Pages/Session","Avg.SessionDuration","Example-Typical(Goal1ConversionRate)","Example-Typical(Goal1Completions)","Example-Typical(Goal1Value)"
"site.com",709,0.272214386459803,193,0.440056417489422,4.6163610719323,313.090267983075,0.0944992947813822,67,0
"l.facebook.com",316,0.474683544303797,150,0.164556962025316,7.24050632911392,591.585443037975,0.170886075949367,54,0
"outlook.live.com",203,0.467980295566502,95,0.167487684729064,7.1871921182266,634.817733990148,0.182266009852217,37,0
"com.google.android.gm",180,0.5,90,0.277777777777778,5.86666666666667,442.116666666667,0.122222222222222,22,0
"mg.mail.yahoo.com",156,0.384615384615385,60,0.185897435897436,7.53205128205128,667.00641025641,0.147435897435897,23,0
"mail.google.com",129,0.364341085271318,47,0.403100775193798,4.87596899224806,424.139534883721,0.10077519379845,13,0
"facebook.com",120,0.458333333333333,55,0.316666666666667,6.475,554.3,0.0666666666666667,8,0
"m.facebook.com",89,0.696629213483146,62,0.404494382022472,6.7752808988764,474.303370786517,0.123595505617978,11,0
"lm.facebook.com",46,0.521739130434783,24,0.304347826086957,5.84782608695652,466.130434782609,0.130434782608696,6,0
"connect.xfinity.com",29,0.275862068965517,8,0.448275862068966,3.93103448275862,362.689655172414,0.0344827586206897,1,0
